State,Account_Length,Area_Code,Phone_No,International_Plan,Voice_Mail_Plan,No_Vmail_Messages,Total_Day_minutes,Total_Day_Calls,Total_Day_charge,Total_Eve_Minutes,Total_Eve_Calls,Total_Eve_Charge,Total_Night_Minutes,Total_Night_Calls,Total_Night_Charge,Total_Intl_Minutes,Total_Intl_Calls,Total_Intl_Charge,No_CS_Calls,Churn
CO,137,415,3794257, no, no,0,127,107,21.59,323.2,75,27.47,143.9,127,6.48,7.5,2,2.03,1,FALSE
FL,129,415,3554992, yes, no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,5.9,4,1.59,1,FALSE
WI,62,415,3836373, no, no,0,281,66,47.77,160.6,108,13.65,77.9,74,3.51,0,0,0,1,FALSE
ID,122,510,3827993, no, yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,11.8,8,3.19,4,FALSE
WY,32,408,4225865, no, no,0,171.2,82,29.1,185.6,102,15.78,203.3,64,9.15,10.2,7,2.75,1,FALSE
GA,86,510,4109961, no, no,0,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,FALSE
FL,130,415,3439946, no, no,0,162.8,113,27.68,290.3,111,24.68,114.9,140,5.17,7.2,3,1.94,1,FALSE
WY,42,408,3577060, no, no,0,146.3,84,24.87,255.9,113,21.75,45,117,2.03,8,12,2.16,1,FALSE
DE,73,415,3559541, no, no,0,254.8,85,43.32,143.4,80,12.19,153.9,102,6.93,15,7,4.05,2,FALSE
ME,66,408,3784145, no, yes,26,254.9,108,43.33,243.2,135,20.67,190.8,95,8.59,5.4,3,1.46,2,FALSE
DC,103,510,3862317, no, yes,31,107.7,124,18.31,188.9,104,16.06,196.2,98,8.83,8.9,3,2.4,0,FALSE
IA,128,408,3358146, no, no,0,158.8,75,27,264.8,91,22.51,270,77,12.15,7.6,7,2.05,1,FALSE
CO,104,415,3772235, no, no,0,182.9,113,31.09,239.6,85,20.37,229.8,104,10.34,5.5,4,1.49,2,FALSE
MN,103,415,3869141, no, no,0,198.5,112,33.75,42.5,90,3.61,179.2,124,8.06,12.4,5,3.35,0,FALSE
VT,124,415,4165623, no, no,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12,2,3.24,0,FALSE
AZ,87,510,3273053, no, no,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1,FALSE
LA,109,415,3956195, no, yes,27,166.9,85,28.37,221.2,92,18.8,197.3,97,8.88,12.3,4,3.32,1,TRUE
MO,167,415,3978772, yes, no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,10.7,3,2.89,2,FALSE
ME,97,510,3467656, no, no,0,120.8,96,20.54,169.8,101,14.43,194.1,63,8.73,11.9,3,3.21,4,TRUE
MD,106,415,3432350, no, no,0,165.3,118,28.1,210,101,17.85,187.2,93,8.42,8.5,3,2.3,2,FALSE
VT,125,415,3724722, no, no,0,126.7,113,21.54,155.5,131,13.22,206.2,112,9.28,14.4,7,3.89,2,FALSE
DC,108,408,3998615, no, yes,35,215.9,106,36.7,200.6,107,17.05,195.4,107,8.79,15.5,7,4.19,0,FALSE
WY,125,415,3798248, no, no,0,140.1,132,23.82,209.6,126,17.82,264.1,77,11.88,8,2,2.16,1,FALSE
VA,89,415,4146219, no, yes,32,209.9,113,35.68,249.8,104,21.23,224.2,92,10.09,8.7,7,2.35,1,FALSE
VA,72,510,3871343, yes, yes,29,139.8,114,23.77,138.2,91,11.75,221,88,9.95,5.5,6,1.49,0,FALSE
CT,23,510,3705527, no, no,0,321.6,107,54.67,251.6,115,21.39,141.1,158,6.35,11.3,3,3.05,2,TRUE
HI,149,510,3938736, no, no,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7,FALSE
WI,73,415,4027626, no, no,0,214.2,90,36.41,196.8,78,16.73,157.9,112,7.11,5.9,8,1.59,0,FALSE
MD,61,415,3702688, no, no,0,260,123,44.2,210.5,127,17.89,234.7,70,10.56,9,3,2.43,1,TRUE
WV,161,415,4189036, no, no,0,191.9,113,32.62,70.9,87,6.03,204.8,107,9.22,13.4,4,3.62,4,TRUE
VT,73,408,4172035, no, no,0,213,95,36.21,188.8,104,16.05,136.2,89,6.13,13.5,3,3.65,0,FALSE
UT,118,415,3553602, no, yes,24,118.1,83,20.08,109.6,72,9.32,245.5,73,11.05,16.9,2,4.56,1,FALSE
CO,23,408,3934027, no, no,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15,4,4.05,6,FALSE
NC,127,415,4185141, no, yes,25,82.2,95,13.97,163.3,109,13.88,264.9,104,11.92,5.1,6,1.38,0,FALSE
NJ,42,415,4061247, no, yes,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0,FALSE
AR,118,415,4023892, no, no,0,267.8,145,45.53,316.4,121,26.89,208.6,91,9.39,14.4,11,3.89,5,TRUE
IA,45,510,3322965, no, no,0,159.8,91,27.17,120.4,86,10.23,163,93,7.34,10.6,3,2.86,2,FALSE
GA,50,408,3771218, no, yes,24,214.3,129,36.43,289.8,55,24.63,312.5,130,14.06,10.6,4,2.86,1,FALSE
MO,179,510,3552464, no, no,0,287.3,123,48.84,288,114,24.48,266,112,11.97,10.5,4,2.84,0,TRUE
MO,152,408,4044611, no, no,0,101.2,122,17.2,141.6,87,12.04,198.5,124,8.93,7.5,3,2.03,2,FALSE
WY,105,415,3732339, no, no,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2,FALSE
HI,72,415,4103503, no, no,0,109.1,97,18.55,115.7,96,9.83,295.8,84,13.31,8.3,6,2.24,0,FALSE
PA,52,408,4104739, no, no,0,215.9,67,36.7,217,108,18.45,342.8,130,15.43,5.2,2,1.4,1,FALSE
TX,125,415,3653562, no, no,0,203.4,110,34.58,128.7,97,10.94,190.5,113,8.57,11,4,2.97,1,FALSE
VA,143,510,3877641, no, no,0,110.1,113,18.72,169,59,14.37,166.7,94,7.5,9.2,2,2.48,1,FALSE
RI,65,415,3859744, no, no,0,111,51,18.87,219.8,84,18.68,202,89,9.09,4.4,14,1.19,1,FALSE
WI,80,415,3985006, no, no,0,239.9,121,40.78,142.3,51,12.1,364.3,106,16.39,9.3,5,2.51,1,FALSE
MS,1,415,4083977, no, no,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1,FALSE
KY,60,408,3342729, no, no,0,135.4,134,23.02,205.9,85,17.5,204,103,9.18,7.9,4,2.13,1,FALSE
NC,43,415,3347685, no, no,0,84.2,134,14.31,80.8,103,6.87,196.1,79,8.82,10.8,2,2.92,1,FALSE
NV,143,415,3509228, no, no,0,209.1,127,35.55,106.1,80,9.02,179.6,90,8.08,14,6,3.78,0,FALSE
UT,81,415,4075774, no, yes,24,130.1,117,22.12,196,61,16.66,139.3,123,6.27,11.4,5,3.08,0,FALSE
ME,205,510,4134039, no, yes,24,175.8,139,29.89,155,98,13.18,180.7,64,8.13,7.8,5,2.11,2,FALSE
HI,24,415,3432077, no, no,0,241.9,104,41.12,145.2,112,12.34,214.5,105,9.65,6.6,5,1.78,1,FALSE
OH,74,415,3365661, no, no,0,136.7,106,23.24,228.6,105,19.43,265.3,114,11.94,9.8,4,2.65,0,FALSE
WV,77,510,3554143, no, no,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12,2,3.24,1,FALSE
OK,74,415,3665918, no, no,0,200.4,87,34.07,309.2,105,26.28,152.1,118,6.84,10,2,2.7,1,FALSE
KY,74,510,3687555, yes, no,0,125.8,103,21.39,207.7,96,17.65,207.4,143,9.33,14.1,4,3.81,1,TRUE
AL,200,408,4082119, no, no,0,128.2,87,21.79,133.2,105,11.32,177.6,123,7.99,11.2,2,3.02,1,FALSE
MD,86,408,3292789, no, no,0,226.3,88,38.47,223,107,18.96,255.6,92,11.5,13,3,3.51,4,FALSE
NE,91,510,3341508, no, yes,37,162.3,107,27.59,233.9,115,19.88,277.4,94,12.48,9.2,4,2.48,0,FALSE
DC,76,415,3371506, no, no,0,224.4,121,38.15,147.9,97,12.57,183.8,74,8.27,6.7,2,1.81,2,FALSE
TX,130,415,3968400, no, no,0,120.5,127,20.49,189.7,52,16.12,270.1,107,12.15,14.3,2,3.86,1,FALSE
OH,56,408,3492654, no, no,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2,FALSE
DE,117,415,4172716, no, no,0,168.8,137,28.7,241.4,107,20.52,204.8,106,9.22,15.5,4,4.19,0,FALSE
IA,63,510,4021725, no, no,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2,FALSE
VT,126,415,4033229, no, no,0,226.2,88,38.45,140.3,114,11.93,208.9,110,9.4,6.4,2,1.73,0,FALSE
OR,132,510,3536056, no, no,0,191.9,107,32.62,206.9,127,17.59,272,88,12.24,12.6,2,3.4,1,FALSE
NV,81,415,3999802, no, yes,28,167.9,147,28.54,190.7,105,16.21,193,103,8.69,9.2,6,2.48,4,TRUE
NC,122,415,3667069, no, no,0,180,88,30.6,145,77,12.33,233.7,120,10.52,11.5,6,3.11,2,FALSE
NJ,46,408,3325949, no, no,0,257.4,67,43.76,261.1,91,22.19,204.4,107,9.2,13.4,5,3.62,2,TRUE
MN,150,415,3936376, no, yes,28,174.4,75,29.65,169.9,80,14.44,201.6,130,9.07,11,4,2.97,1,FALSE
ID,99,408,3547025, no, no,0,159.7,83,27.15,155.4,121,13.21,255.7,114,11.51,8.4,3,2.27,1,FALSE
AL,87,408,3516585, no, no,0,237.2,124,40.32,222.6,87,18.92,173.3,81,7.8,11,3,2.97,1,FALSE
AK,108,415,3305462, no, no,0,103,129,17.51,242.3,103,20.6,170.2,89,7.66,7.9,3,2.13,1,FALSE
VT,101,415,4072292, no, no,0,153.8,89,26.15,234,89,19.89,196.3,77,8.83,11.6,2,3.13,4,FALSE
PA,53,415,3403011, no, no,0,205.1,86,34.87,160.5,95,13.64,149.5,142,6.73,10.7,2,2.89,3,FALSE
AK,132,415,3459153, no, yes,39,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,FALSE
CA,158,510,3795503, no, no,0,155.9,123,26.5,224.2,112,19.06,221,116,9.95,8.6,8,2.32,2,FALSE
MS,114,415,3896790, no, yes,34,154.4,109,26.25,221.4,142,18.82,208.5,103,9.38,10.3,5,2.78,0,FALSE
AR,77,415,4083610, no, yes,23,209.7,73,35.65,183.6,63,15.61,205.5,111,9.25,7.1,3,1.92,2,FALSE
NV,144,415,3758238, yes, no,0,150,69,25.5,285.9,73,24.3,190.6,121,8.58,9.4,15,2.54,0,FALSE
AL,91,510,3785633, no, yes,23,232.4,97,39.51,186,88,15.81,190.5,128,8.57,12.3,3,3.32,3,FALSE
GA,58,408,3899120, no, no,0,165.4,100,28.12,115.7,87,9.83,193.8,118,8.72,12.8,5,3.46,2,FALSE
AR,5,415,3802758, no, no,0,199.2,106,33.86,187.3,12,15.92,214,85,9.63,13.3,3,3.59,3,FALSE
MA,97,408,4022728, no, no,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0,FALSE
NJ,107,415,3549062, no, no,0,212.1,95,36.06,150.1,88,12.76,219.8,111,9.89,7.7,2,2.08,3,FALSE
MO,142,415,4172054, no, yes,30,154,75,26.18,165.8,97,14.09,270,83,12.15,10.8,5,2.92,1,FALSE
NY,9,408,3531941, no, yes,31,193.8,130,32.95,202.6,98,17.22,191.2,102,8.6,13.3,2,3.59,1,FALSE
AZ,73,415,3281522, no, no,0,175.4,130,29.82,248.1,105,21.09,122.4,85,5.51,12.2,4,3.29,0,FALSE
NJ,48,510,4084529, no, yes,22,152,63,25.84,258.8,131,22,263.2,109,11.84,15.7,5,4.24,2,TRUE
WV,43,408,4175320, no, no,0,230.2,147,39.13,186.7,121,15.87,128.4,100,5.78,9.2,3,2.48,0,FALSE
NM,122,408,3709755, no, yes,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1,TRUE
SC,93,415,3724835, no, no,0,190.2,68,32.33,262.2,64,22.29,130,92,5.85,8.8,4,2.38,0,FALSE
VT,85,415,3346605, no, no,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1,FALSE
TN,59,415,3995564, no, no,0,160.9,95,27.35,251.2,65,21.35,273.4,97,12.3,5,5,1.35,3,FALSE
LA,87,415,3922887, no, no,0,228.7,90,38.88,163,99,13.86,154.1,90,6.93,11.8,3,3.19,1,FALSE
OH,137,408,3282110, no, no,0,144,90,24.48,181.6,100,15.44,128.1,93,5.76,12.3,2,3.32,0,FALSE
OR,21,510,3835976, no, yes,31,135.9,90,23.1,271,84,23.04,179.1,89,8.06,9.5,7,2.57,6,FALSE
DE,129,510,3326181, no, no,0,334.3,118,56.83,192.1,104,16.33,191,83,8.59,10.4,6,2.81,0,TRUE
KY,104,415,3305255, no, no,0,130.5,77,22.19,131.2,117,11.15,264.7,63,11.91,13,6,3.51,0,FALSE
GA,93,408,4135190, no, yes,21,134.2,105,22.81,162.5,128,13.81,186.6,90,8.4,11.8,2,3.19,4,TRUE
VT,63,415,3947447, no, no,0,278,102,47.26,266.4,114,22.64,224.1,118,10.08,13.1,4,3.54,4,TRUE
OR,161,415,3537096, no, no,0,105.4,70,17.92,214.8,122,18.26,223.6,126,10.06,7.8,5,2.11,0,FALSE
TX,50,510,3956002, no, no,0,188.9,94,32.11,203.9,104,17.33,151.8,124,6.83,11.6,8,3.13,3,FALSE
MO,103,408,3729816, no, yes,24,111.8,85,19.01,239.6,102,20.37,268.3,81,12.07,6.9,4,1.86,1,FALSE
ND,84,415,4007253, no, yes,33,159.1,106,27.05,149.8,101,12.73,213.4,108,9.6,13,18,3.51,1,FALSE
MN,92,510,3447470, no, no,0,212.4,105,36.11,224.6,118,19.09,221.3,105,9.96,9,4,2.43,1,FALSE
NV,77,415,3788572, no, no,0,142.3,112,24.19,306.3,111,26.04,196.5,82,8.84,9.9,1,2.67,1,FALSE
NY,64,415,3459140, yes, no,0,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,TRUE
FL,159,415,3405460, no, yes,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1,FALSE
KS,110,415,3698024, yes, yes,27,267.9,103,45.54,263.3,74,22.38,178.1,106,8.01,8.3,2,2.24,1,TRUE
NV,138,510,3958595, no, no,0,171.4,117,29.14,115.2,128,9.79,224.5,115,10.1,17,4,4.59,3,FALSE
NV,178,408,3594587, no, no,0,275.4,150,46.82,187.5,62,15.94,147.1,126,6.62,13.6,3,3.67,1,FALSE
SC,38,415,3755439, no, yes,31,197.2,118,33.52,249.9,70,21.24,298.9,104,13.45,3.9,2,1.05,0,FALSE
MI,50,415,3613779, no, yes,35,192.6,97,32.74,135.2,101,11.49,216.2,101,9.73,7.9,2,2.13,2,FALSE
MI,45,510,3758934, no, yes,26,91.7,104,15.59,150.6,119,12.8,63.3,103,2.85,7.7,5,2.08,1,FALSE
TN,70,510,3954757, no, no,0,126.3,99,21.47,141.6,106,12.04,255.9,96,11.52,9.6,2,2.59,0,FALSE
NY,147,510,4217205, no, yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,FALSE
NV,94,510,3798805, no, no,0,190.6,108,32.4,152.3,95,12.95,144.7,97,6.51,7.5,5,2.03,1,FALSE
IL,179,510,3482150, no, no,0,116.1,101,19.74,201.8,99,17.15,181.9,103,8.19,11.6,5,3.13,0,FALSE
MS,116,415,4179128, no, no,0,217.3,91,36.94,216.1,95,18.37,148.1,76,6.66,11.3,3,3.05,2,FALSE
ND,59,510,3514226, no, no,0,179.4,80,30.5,232.5,99,19.76,175.8,105,7.91,14.7,3,3.97,0,FALSE
NC,165,415,3306630, no, no,0,207.7,109,35.31,164.8,94,14.01,54.5,91,2.45,7.9,3,2.13,0,FALSE
MI,133,408,3879137, no, no,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2,TRUE
TN,140,415,3723987, no, no,0,125.3,84,21.3,167.6,121,14.25,260.6,94,11.73,8.4,4,2.27,1,FALSE
VT,93,408,4085183, no, yes,32,138.1,91,23.48,167.3,72,14.22,238.9,115,10.75,6.8,3,1.84,2,FALSE
OK,52,510,4129357, no, yes,38,169.3,88,28.78,225.9,97,19.2,172,86,7.74,8.2,3,2.21,0,FALSE
DE,64,415,4023599, no, yes,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1,FALSE
ND,12,510,3795211, yes, no,0,216.7,117,36.84,116.5,126,9.9,220,110,9.9,9.8,4,2.65,2,FALSE
OR,48,415,4059217, no, no,0,190.4,92,32.37,317.5,85,26.99,133.4,113,6,8.3,4,2.24,2,FALSE
NY,181,408,3409200, no, no,0,143.3,91,24.36,195.5,58,16.62,223.3,95,10.05,6,7,1.62,1,FALSE
MO,168,415,3399026, no, yes,42,97.4,57,16.56,203.6,98,17.31,173.9,124,7.83,11.4,2,3.08,2,FALSE
FL,155,415,3434772, no, no,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3,FALSE
ND,105,510,3452108, no, no,0,246.4,83,41.89,256.2,101,21.78,169,151,7.61,3.8,4,1.03,0,FALSE
NY,11,415,4014650, no, no,0,143.4,130,24.38,289.4,50,24.6,194,100,8.73,9.7,6,2.62,2,FALSE
ND,182,415,4003945, no, no,0,104.9,111,17.83,198.5,120,16.87,258.2,91,11.62,8,5,2.16,2,FALSE
NY,104,415,3383781, no, no,0,156.2,93,26.55,193,54,16.41,222.7,94,10.02,13.1,5,3.54,1,FALSE
OH,102,415,3426316, no, no,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12,4,3.24,0,FALSE
AL,122,415,3365920, no, no,0,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,FALSE
SC,41,415,3321060, no, no,0,143.6,117,24.41,152.4,108,12.95,194.4,110,8.75,8.6,3,2.32,1,FALSE
GA,132,415,4183426, no, no,0,176.7,132,30.04,244.1,80,20.75,176.3,120,7.93,9.1,4,2.46,2,FALSE
WY,76,415,4086326, no, no,0,263.4,148,44.78,230.3,69,19.58,170.6,101,7.68,11.4,5,3.08,1,TRUE
WV,13,415,3346142, no, no,0,146.4,74,24.89,148.5,92,12.62,216.7,96,9.75,11.3,3,3.05,1,FALSE
HI,115,415,3366128, no, yes,33,145,72,24.65,194.5,157,16.53,242.3,138,10.9,14.2,3,3.83,2,FALSE
WV,67,408,4066708, no, no,0,167.8,91,28.53,167.7,69,14.25,110.3,71,4.96,8.4,12,2.27,1,FALSE
LA,154,510,3888670, no, no,0,166.9,99,28.37,154.9,97,13.17,189.4,89,8.52,7.2,5,1.94,0,FALSE
AR,100,510,3635853, no, no,0,142.5,87,24.23,195.7,88,16.63,122.1,117,5.49,7.8,8,2.11,2,FALSE
AK,146,510,3836544, yes, no,0,133,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1,FALSE
DC,148,415,3782940, no, yes,11,252.9,129,42.99,284.3,88,24.17,262.8,99,11.83,12.3,1,3.32,1,FALSE
AL,67,415,3387683, no, yes,28,95,94,16.15,291.2,73,24.75,159.6,114,7.18,10,2,2.7,2,FALSE
UT,161,510,3292786, yes, no,0,194.2,106,33.01,249.4,105,21.2,254.9,129,11.47,12.9,1,3.48,1,TRUE
KS,70,415,3699465, no, no,0,222.8,114,37.88,215.9,113,18.35,223.5,122,10.06,0,0,0,1,FALSE
MN,116,510,3373769, no, no,0,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,FALSE
VA,99,415,4006257, no, yes,42,216,125,36.72,232.3,104,19.75,215.5,100,9.7,9.3,4,2.51,2,TRUE
UT,87,415,4116663, no, no,0,146.3,108,24.87,171.8,102,14.6,167.5,66,7.54,5.3,9,1.43,1,FALSE
IN,87,510,3843101, no, no,0,234.8,85,39.92,140.9,91,11.98,204.3,93,9.19,9.5,5,2.57,1,FALSE
CT,70,408,3395329, no, no,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2,FALSE
DE,131,408,3889944, no, no,0,94.4,80,16.05,215.1,101,18.28,179.7,108,8.09,13.1,9,3.54,2,FALSE
VT,119,510,4031769, no, no,0,190.4,74,32.37,215.6,113,18.33,161.2,111,7.25,10,1,2.7,2,FALSE
MO,119,408,3901612, no, yes,32,142.6,77,24.24,208.2,126,17.7,171,102,7.69,12,2,3.24,3,FALSE
RI,87,510,4217214, yes, no,0,134.2,80,22.81,165,71,14.03,173.1,102,7.79,10.7,5,2.89,0,FALSE
CA,112,415,3386962, no, no,0,111.9,92,19.02,114,143,9.69,146.8,79,6.61,14.1,3,3.81,5,TRUE
RI,75,415,3339826, no, no,0,122.8,89,20.88,211.3,104,17.96,261.4,91,11.76,10.7,2,2.89,2,FALSE
CT,150,510,4118549, no, no,0,189.3,77,32.18,220.9,105,18.78,238.7,117,10.74,9.2,5,2.48,4,FALSE
IN,161,510,3819234, no, yes,38,240.4,112,40.87,201.8,102,17.15,206.1,112,9.27,16.1,6,4.35,0,FALSE
FL,91,510,3879855, yes, yes,24,93.5,112,15.9,183.4,128,15.59,240.7,133,10.83,9.9,3,2.67,0,FALSE
KS,124,415,3716990, no, no,0,158.6,104,26.96,211.2,77,17.95,179.3,104,8.07,10.2,8,2.75,3,FALSE
NY,94,510,4173046, yes, no,0,243.2,109,41.34,147,88,12.5,94.9,99,4.27,7.2,4,1.94,4,FALSE
TX,217,408,3857082, no, no,0,176.4,115,29.99,158.8,128,13.5,306.6,107,13.8,9.3,3,2.51,4,FALSE
RI,158,510,3655886, no, no,0,220.9,129,37.55,242.2,108,20.59,233.3,75,10.5,6.4,5,1.73,0,FALSE
NV,102,415,3735196, no, no,0,144.4,87,24.55,266.5,128,22.65,217.6,59,9.79,7.1,7,1.92,0,FALSE
UT,85,510,3276194, no, no,0,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,FALSE
OK,79,510,3814565, no, no,0,147,72,24.99,165.7,102,14.08,243.2,107,10.94,8.4,9,2.27,1,FALSE
MN,139,510,3579832, no, yes,25,96.2,112,16.35,178.9,70,15.21,182.1,84,8.19,12.9,10,3.48,2,FALSE
NC,103,415,3964845, no, no,0,263.4,118,44.78,179.1,69,15.22,214.7,112,9.66,10.3,2,2.78,0,FALSE
OR,98,415,3786772, yes, no,0,12.5,67,2.13,256.6,90,21.81,169.4,88,7.62,7.7,9,2.08,1,FALSE
NH,78,408,3534296, no, no,0,162.3,116,27.59,192.4,86,16.35,240.6,100,10.83,10.1,3,2.73,2,FALSE
AK,50,408,3628331, no, no,0,183.6,107,31.21,58.6,118,4.98,202.6,99,9.12,8.7,3,2.35,1,FALSE
OR,161,415,3624685, no, no,0,178.1,109,30.28,146.5,86,12.45,137.6,78,6.19,8.5,2,2.3,1,FALSE
KS,67,408,3831431, no, no,0,201.4,101,34.24,97.6,122,8.3,202.5,119,9.11,7,3,1.89,0,FALSE
WV,86,415,3322258, no, yes,38,123,158,20.91,133.9,119,11.38,138.2,103,6.22,13.3,4,3.59,1,FALSE
GA,92,510,3758304, no, no,0,208,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0,FALSE
NM,174,415,3405580, no, no,0,239.2,72,40.66,188.5,124,16.02,105.6,116,4.75,8.8,3,2.38,1,FALSE
OH,124,510,3621490, no, no,0,193,97,32.81,89.8,99,7.63,172.8,104,7.78,15.3,3,4.13,1,FALSE
ND,132,415,3364281, no, yes,31,174.5,101,29.67,245.6,105,20.88,172.8,76,7.78,10.3,9,2.78,1,FALSE
RI,190,415,3611315, no, yes,26,116.7,71,19.84,145.9,88,12.4,175.1,103,7.88,9.9,3,2.67,1,FALSE
HI,101,510,3425906, no, no,0,93.8,127,15.95,150,104,12.75,241.1,116,10.85,10.7,2,2.89,1,FALSE
WY,185,415,4057904, yes, yes,30,154.1,114,26.2,118.7,106,10.09,258.4,105,11.63,12.9,3,3.48,2,FALSE
NY,68,415,3494762, no, yes,29,239.5,82,40.72,203.8,105,17.32,167.8,70,7.55,9.9,6,2.67,0,FALSE
KS,117,510,3853263, no, yes,25,216,140,36.72,224.1,69,19.05,267.9,112,12.06,11.8,4,3.19,0,FALSE
LA,118,408,4059496, no, no,0,187.4,97,31.86,177.8,89,15.11,233.4,97,10.5,12.2,6,3.29,1,FALSE
PA,124,415,3966775, no, no,0,167.4,119,28.46,233.2,143,19.82,109.6,115,4.93,10.3,5,2.78,0,FALSE
NV,22,510,3936475, no, no,0,160.4,108,27.27,218.1,88,18.54,192.9,115,8.68,12.5,4,3.38,1,FALSE
MN,75,415,3797779, no, no,0,143.2,92,24.34,209.1,142,17.77,173,96,7.79,11.9,9,3.21,1,FALSE
PA,134,408,4088650, no, no,0,205.3,122,34.9,240.5,155,20.44,179.1,107,8.06,5,9,1.35,1,FALSE
MO,164,408,4003497, no, yes,25,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,FALSE
NY,44,510,4079244, no, no,0,143.2,77,24.34,169.8,114,14.43,215.8,77,9.71,7.6,4,2.05,1,FALSE
ME,177,415,4068809, no, no,0,232.8,106,39.58,175.2,97,14.89,212.2,77,9.55,12.5,7,3.38,2,FALSE
NH,110,408,3581778, no, no,0,162,81,27.54,247.5,89,21.04,155.5,99,7,8.9,8,2.4,0,FALSE
WY,53,415,3374339, no, yes,27,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,FALSE
NY,108,415,3447197, no, no,0,154.2,123,26.21,112.3,86,9.55,246.4,75,11.09,15.4,4,4.16,4,TRUE
ME,80,408,3337631, no, no,0,322.3,113,54.79,222,95,18.87,162.8,123,7.33,6.7,8,1.81,0,TRUE
MN,158,408,3726623, no, no,0,209.9,112,35.68,221.3,82,18.81,210,93,9.45,8.2,3,2.21,1,FALSE
OH,114,415,3632602, no, no,0,191.5,88,32.56,175.2,78,14.89,220.3,118,9.91,0,0,0,0,FALSE
NC,64,408,3877757, no, yes,19,291.1,150,49.49,226.7,123,19.27,219.1,67,9.86,7.5,2,2.03,1,FALSE
SD,88,415,3975381, no, no,0,215.6,115,36.65,216.2,85,18.38,171.3,65,7.71,11.8,1,3.19,3,FALSE
UT,82,510,4064604, yes, no,0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,12.4,6,3.35,3,FALSE
KY,111,415,3769513, no, no,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,12.3,5,3.32,3,FALSE
MT,60,408,3601852, no, no,0,252.7,97,42.96,221.1,121,18.79,109.9,100,4.95,12.4,4,3.35,2,FALSE
NJ,113,408,4217270, no, no,0,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,FALSE
FL,109,408,3719482, no, no,0,217,115,36.89,207,142,17.6,268,106,12.06,8.2,4,2.21,1,FALSE
IN,105,510,3374101, no, yes,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0,FALSE
DE,85,510,4202796, no, no,0,211.5,100,35.96,184.6,88,15.69,164.3,131,7.39,13.3,4,3.59,2,FALSE
AL,131,510,3664225, no, no,0,153.4,86,26.08,198.5,81,16.87,164.4,83,7.4,10.4,3,2.81,0,FALSE
ME,59,510,3984567, no, no,0,166.3,95,28.27,239.3,87,20.34,123.2,108,5.54,10,3,2.7,2,FALSE
SD,148,408,3884571, no, no,0,185.2,87,31.48,170.4,96,14.48,165.1,104,7.43,9.5,13,2.57,1,FALSE
